제목,글,그림,출판사,정가,판매가,URL,책소개
"눈물 찍, 콧물 찍, 호랑이",우현옥,이현희,박철화,"7,600원 ","6,840",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=32900056,춤추는 꼬리연 옛이야기 시리즈. 한 선비가 산길을 가다가 구덩이에 빠진 호랑이를 만났다. 호랑이는 선비에게 구덩이에서 구해주면 은혜를 잊지 않겠다고 약속했다. 하지만 구덩이에서 나오자마자 선비를 잡아먹으...
호랑이 목에 방울 달기,메리 스톨츠,유동환,푸른그림책,"8,500원 ","7,650",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=610000,"어느 바다 앞 평화로운 부둣가 마을, 벽장 속에서 심각한 회의가 벌어진다. 회의 주제는 거만한 집고양이 줄라이 목에 방울 달기이다. 그런데 대체 누가 고양이 목에 방울을 달까? 어처구니없는 실수로 꼬마쥐 밥과 ..."
호랑이 왕자,첸 지앙 홍,윤정임,웅진주니어,"9,000원 ","8,100",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=605388,"예로부터 동양에서 공포와 신앙의 대상이었던 호랑이가 그 느낌 그대로 되살아난 그림책으로, 동양의 정서가 물씬 풍겨난다. 전통성과 현대성, 동양적 선과 서양적 색이 어우러진 그림으로 정교한 구성과 미려한 색..."
,,,,,,,
,,,,,,,
호랑이와 곶감,정근,이정혜,보림,"7,000원 ","6,300",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=172098,"호랑이가 나오는 가장 대표적인 옛이야기. 곶감이 자기보다 더 무서운 맹수인줄 알고 호랑이가 놀라서 도망간다는 내용이다. 색색의 골판지를 오려붙여 역동감 넘치는 화면을 구성했고, 동물들의 익살스런 표정을 섬..."
,,,,,,,
,,,,,,,
,,,,,,,
왕이 되고 싶었던 호랑이,제임스 서버,윤주희,김서정,"16,000원 ","14,400",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270626027,"마크 트웨인 이후 미국 유머의 역사를 새로 썼다고 평가받는 작가 제임스 서버의 단편을 토대로, 뉴욕에서 활동하고 있는 일러스트레이터 윤주희가 그려낸 그림책이다. 싸움의 무용함을 호랑이와 정글 동물들의 싸움..."
토끼와 호랑이,양지안,이광익,곧은나무(삼성출판사),"5,800원 ","5,220",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=582183,"익히 알려진 우리 옛이야기를 만 3~4세 유아들이 소화하기 쉽게 재구성했다. 맛깔스럽고 발랄한 입말체를 살리고, 반복적인 문장을 사용했다. 우리 민화 속의 호랑이 모습을 멋스럽게 되살려 냈다."
방아 찧는 호랑이,서정오,이춘길,곧은나무(삼성출판사),"6,200원 ","5,580",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=582167,"깊은 산골 오막살이 초가집의 오누이는, 잔칫집에 간 부모 덕에 둘만 집에 남게 된다. 때를 놓치지 않은 호랑이의 습격에 오누이는 기지를 발휘하고, 결국 뜨거운 감자를 발 밑에 두게 된 호랑이는 방이를 찧듯 뒷발..."
호랑이가 예끼놈!,이은홍,박지원,사계절,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=7489159,초등학생이 보는 그림책 시리즈 23권. 겉과 속의 다른 모습을 밀착해서 고발하는 18세기의 한문단편 「호질」을 작가 이은홍이 다시 쓰고 그린 책이다. 영물인 호랑이가 겉모습만 번드르르한 가짜 북곽 선생의 모습...
잭과 호랑이 릴리,다이앤 구드,이복희,웅진주니어,"7,500원 ","6,750",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=375291,호랑이 릴리를 애완 동물로 키우는 잭은 뉴욕 강변 마을 33번지 아파트에 살고 있다. 그런데 매일을 즐겁게 보내던 릴리와 잭에게 어려움이 닥쳤다. 무섭게 생긴 머드 씨와 심술궂은 개 피피가 아파트의 새로운 주인...
,,,,,,,
[eBook] 호랑이와 효자,김장성,백성민,이야기꽃,"6,000원 ","6,000",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=237772077,"서울과 고양 사이 북한산 자락에 전해 오는 효자 박태성과 산군 호랑이의 애틋한 이야기. ‘효자리의 박 효자 전설’(「고양군지」, 1987)과 조선 영조 때 살았던 실제 인물 박태성의 이야기를 바탕으로 쓰였다."
난 새침한 호랑이가 좋아,앤드류 그리프,오숙은,주니어김영사,"8,900원 ","8,010",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=299691,모든 동물을 사랑하는 깜찍한 아이 스탠리를 통해 동물에 관해 배운다. 동물에 대해 설명하는 그림책이면서도 말썽꾸러기의 스탠리의 여러가지 상상을 훑어보는 듯 경쾌하고 친근감 있게 지식을 전달해 주는 것이 특...
,,,,,,,
나는 호랑이입니다,스테판 세르방,앙투안 데프레,이주영,"10,800원 ","9,720",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=106602328,담푸스 철학 그림책 4권. 자유는 행복하고 가치 있게 살아가기 위해 가장 중요한 것이다. 자유로운 호랑이의 모습과 우리에 갇힌 호랑이의 모습을 통해 자유가 무엇인지 생각해 볼 수 있을 것이다.
호랑이와 나그네,강중위,디자인브리지,계몽사,"7,000원 ","6,300",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=33747274,"또래랑 토리랑 이야기는 신체운동/건강 영역, 사회관계 영역, 자연탐구 영역, 의사소통 영역, 예술경험 영역으로 나누어져 있다. 자꾸자꾸 읽고 싶은 그림책을 다 읽고 난 뒤, 표현 놀이책, 퍼즐, 손가락 인형 들로 ..."
한국어린이출판협의회 놀이활동북 7세용 그림책 8종 세트	,정란희,해리 앨러드,김일옥,"93,300원 ","83,970",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276120754,p align=left p style=text-align: left; /pp align=left p style=text-align: left;img width=100% style=cursor: pointer; src=http://image.aladin.co.kr/scm/editor/2021/0722/scm71882224297.jp...
[eBook] 호랑이가 산다,레네 아스크,마리 칸스타 욘센,손화수,"9,100원 ","9,100",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=279310622,"노르웨이 올해의 가장 아름다운 그림책 은상 수상작. 소녀는 식탁에 앉아 알파벳 공부를 시작한다. 하지만 비슷비슷하게 생긴 글자는 헷갈리고, 점점 어려워진다. 소녀는 친구라고 믿었던 글자들이 자신을 따돌리고 ..."
,,,,,,,
[빅북] 호랑이 형님,김일옥,최정인,하루놀,"65,000원 ","61,750",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=234519921,"어머니를 모시고 사는 가난한 나무꾼은 오늘도 열심히 나무를 해다 나르고 있었다. 나무를 팔아 어머니께 대접할 양식을 구하기 위해서이다. 그때 뒤에서 느껴지는 이상한 기척에 뒤를 돌아보니, 커다란 호랑이가 나..."
,,,,,,,
호랑이가 왜 화났지?,신정민,백은희,꿈동산,"4,500원 ","4,050",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=266497,호랑이가 왜 화났지?
긴꼬리 호랑이,도미야스 요코,아베 히로시,양선하,"9,500원 ","8,550",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=5939934,하얀 도화지 속에서 나타난 긴꼬리 호랑이와 꼬마 마나부의 아주 특별한 모험 이야기. 마나부는 아빠에게 호랑이를 그려달라고 조른다. 아빠가 그려 준 호랑이는 꼬리가 길어서 뱀처럼 꼬불꼬불한 호랑이였다. 그런...
,,,,,,,
